        prz const   t   y_lag
1    -14.55     1   1  855.70
2      7.03     1   2  841.15
3     68.74     1   3  848.18
4     46.67     1   4  916.92
5     10.91     1   5  963.59
6     18.82     1   6  974.50
7     14.69     1   7  993.32
8    -12.04     1   8 1008.01
9     54.74     1   9  995.97
10     7.49     1  10 1050.71
11    53.72     1  11 1058.20
12    19.21     1  12 1111.92
13    13.81     1  13 1131.13
14   -18.73     1  14 1144.94
15   -18.91     1  15 1126.21
16    13.38     1  16 1107.30
17    20.16     1  17 1120.68
18   -39.12     1  18 1140.84
19     2.52     1  19 1101.72
20    10.34     1  20 1104.24
21    15.62     1  21 1114.58
22    43.62     1  22 1130.20
23    38.10     1  23 1173.82
24   -30.65     1  24 1211.92
25    22.33     1  25 1181.27
26   -23.01     1  26 1203.60
27   -23.74     1  27 1180.59
28    34.65     1  28 1156.85
29    -0.17     1  29 1191.50
30    42.85     1  30 1191.33
31   -13.85     1  31 1234.18
32     8.48     1  32 1220.33
33   -21.80     1  33 1228.81
34    42.47     1  34 1207.01
35    -1.19     1  35 1249.48
36    31.79     1  36 1248.29
37     0.58     1  37 1280.08
38    14.17     1  38 1280.66
39    15.78     1  39 1294.83
40   -40.52     1  40 1310.61
41     0.11     1  41 1270.09
42     6.46     1  42 1270.20
43    27.16     1  43 1276.66
44    32.03     1  44 1303.82
45    42.09     1  45 1335.85
46    22.69     1  46 1377.94
47    17.67     1  47 1400.63
48    19.94     1  48 1418.30
49   -31.42     1  49 1438.24
50    14.04     1  50 1406.82
51    61.51     1  51 1420.86
52    48.25     1  52 1482.37
53   -27.27     1  53 1530.62
54   -48.08     1  54 1503.35
55    18.72     1  55 1455.27
56    52.76     1  56 1473.99
57    22.63     1  57 1526.75
58   -68.24     1  58 1549.38
59   -12.78     1  59 1481.14
60   -89.81     1  60 1468.36
61   -47.92     1  61 1378.55
62    -7.93     1  62 1330.63
63    62.89     1  63 1322.70
64    14.79     1  64 1385.59
65  -120.38     1  65 1400.38
66   -12.62     1  66 1280.00
67    15.45     1  67 1267.38
68  -116.47     1  68 1282.83
69  -197.61     1  69 1166.36
70   -72.51     1  70  968.75
71     7.01     1  71  896.24
72   -77.37     1  72  903.25
73   -90.79     1  73  825.88
74    62.78     1  74  735.09
75    74.94     1  75  797.87
76    46.33     1  76  872.81
77     0.18     1  77  919.14
78    68.16     1  78  919.32
79    33.14     1  79  987.48
80    36.46     1  80 1020.62
81   -20.89     1  81 1057.08
82    59.44     1  82 1036.19
83    19.47     1  83 1095.63
84   -41.23     1  84 1115.10
85    30.62     1  85 1073.87
86    64.94     1  86 1104.49
87    17.26     1  87 1169.43
88   -97.28     1  88 1186.69
89   -58.70     1  89 1089.41
90    70.89     1  90 1030.71
91   -52.27     1  91 1101.60
92    91.87     1  92 1049.33
93    42.06     1  93 1141.20
94    -2.71     1  94 1183.26
95    77.09     1  95 1180.55
96    28.48     1  96 1257.64
97    41.10     1  97 1286.12
98    -1.39     1  98 1327.22
99    37.78     1  99 1325.83
100  -18.41     1 100 1363.61
101  -24.56     1 101 1345.20
102  -28.36     1 102 1320.64
103  -73.39     1 103 1292.28
104  -87.47     1 104 1218.89
105  121.88     1 105 1131.42
106   -6.34     1 106 1253.30
107   10.64     1 107 1246.96
108   54.81     1 108 1257.60
109   53.27     1 109 1312.41
110   42.79     1 110 1365.68
111  -10.56     1 111 1408.47
112  -87.58     1 112 1397.91
113   51.83     1 113 1310.33
114   17.16     1 114 1362.16
115   27.26     1 115 1379.32
116   34.09     1 116 1406.58
117  -28.51     1 117 1440.67
118    4.02     1 118 1412.16
119   10.01     1 119 1416.18
120   71.92     1 120 1426.19
121   16.57     1 121 1498.11
122   54.51     1 122 1514.68
123   28.38     1 123 1569.19
124   33.17     1 124 1597.57
125  -24.46     1 125 1630.74
126   79.45     1 126 1606.28
127  -52.76     1 127 1685.73
128   48.58     1 128 1632.97
129   74.99     1 129 1681.55
130   49.27     1 130 1756.54
131   42.55     1 131 1805.81
132  -65.77     1 132 1848.36
133   76.86     1 133 1782.59
134   12.89     1 134 1859.45
135   11.61     1 135 1872.34
136   39.62     1 136 1883.95
137   36.66     1 137 1923.57
138  -29.56     1 138 1960.23
139   72.70     1 139 1930.67
140  -31.08     1 140 2003.37
141   45.76     1 141 1972.29
142   49.51     1 142 2018.05
143   -8.66     1 143 2067.56
144  -63.91     1 144 2058.90
145  109.51     1 145 1994.99
146  -36.61     1 146 2104.50
147   17.62     1 147 2067.89
148   21.88     1 148 2085.51
149  -44.28     1 149 2107.39
150   40.73     1 150 2063.11
151 -131.66     1 151 2103.84
152  -52.15     1 152 1972.18
153  159.33     1 153 1920.03
154    1.05     1 154 2079.36
155  -36.47     1 155 2080.41
156 -103.70     1 156 2043.94
157   -8.01     1 157 1940.24
158  127.51     1 158 1932.23
159    5.56     1 159 2059.74
160   31.66     1 160 2065.30
161    1.90     1 161 2096.96
162   74.74     1 162 2098.86
163   -2.65     1 163 2173.60
164   -2.68     1 164 2170.95
165  -42.12     1 165 2168.27
166   72.66     1 166 2126.15
167   40.02     1 167 2198.81
168   40.04     1 168 2238.83
169   84.77     1 169 2278.87
170   -0.92     1 170 2363.64
171   21.48     1 171 2362.72
172   27.60     1 172 2384.20
173   11.61     1 173 2411.80
174   46.89     1 174 2423.41
175    1.35     1 175 2470.30
176   47.71     1 176 2471.65
177   55.90     1 177 2519.36
178   72.32     1 178 2575.26
179   26.03     1 179 2647.58
180  150.20     1 180 2673.61
181 -109.98     1 181 2823.81
182  -72.96     1 182 2713.83
183    7.18     1 183 2640.87
184   57.22     1 184 2648.05
185   13.10     1 185 2705.27
186   97.92     1 186 2718.37
187   85.23     1 187 2816.29
188   12.46     1 188 2901.52
189 -202.24     1 189 2913.98
190   48.43     1 190 2711.74
191 -253.32     1 191 2760.17
192  197.25     1 192 2506.85
193   80.39     1 193 2704.10
194   49.91     1 194 2784.49
195  111.43     1 195 2834.40
196 -193.77     1 196 2945.83
197  189.70     1 197 2752.06
198   38.62     1 198 2941.76
199  -53.92     1 199 2980.38
200   50.28     1 200 2926.46
201   60.82     1 201 2976.74
202  103.42     1 202 3037.56
203   89.80     1 203 3140.98
